,CNRM-CERFACS-CNRM-CM5_ALADIN63_r1i1p1,CNRM-CERFACS-CNRM-CM5_CCLM4-8-17_r1i1p1,CNRM-CERFACS-CNRM-CM5_COSMO-crCLIM-v1-1_r1i1p1,CNRM-CERFACS-CNRM-CM5_HadREM3-GA7-05_r1i1p1,CNRM-CERFACS-CNRM-CM5_HIRHAM5_r1i1p1,CNRM-CERFACS-CNRM-CM5_RACMO22E_r1i1p1,CNRM-CERFACS-CNRM-CM5_RCA4_r1i1p1,CNRM-CERFACS-CNRM-CM5_RegCM4-6_r1i1p1,CNRM-CERFACS-CNRM-CM5_REMO2015_r1i1p1,CNRM-CERFACS-CNRM-CM5_WRF381P_r1i1p1,ICHEC-EC-EARTH_CCLM4-8-17_r12i1p1,ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r12i1p1,ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r1i1p1,ICHEC-EC-EARTH_COSMO-crCLIM-v1-1_r3i1p1,ICHEC-EC-EARTH_HadREM3-GA7-05_r12i1p1,ICHEC-EC-EARTH_HIRHAM5_r12i1p1,ICHEC-EC-EARTH_HIRHAM5_r1i1p1,ICHEC-EC-EARTH_HIRHAM5_r3i1p1,ICHEC-EC-EARTH_RACMO22E_r12i1p1,ICHEC-EC-EARTH_RACMO22E_r1i1p1,ICHEC-EC-EARTH_RACMO22E_r3i1p1,ICHEC-EC-EARTH_RCA4_r12i1p1,ICHEC-EC-EARTH_RCA4_r1i1p1,ICHEC-EC-EARTH_RCA4_r3i1p1,ICHEC-EC-EARTH_RegCM4-6_r12i1p1,ICHEC-EC-EARTH_REMO2015_r12i1p1,ICHEC-EC-EARTH_WRF381P_r12i1p1,IPSL-IPSL-CM5A-MR_HIRHAM5_r1i1p1,IPSL-IPSL-CM5A-MR_RACMO22E_r1i1p1,IPSL-IPSL-CM5A-MR_RCA4_r1i1p1,IPSL-IPSL-CM5A-MR_REMO2015_r1i1p1,IPSL-IPSL-CM5A-MR_WRF381P_r1i1p1,MOHC-HadGEM2-ES_ALADIN63_r1i1p1,MOHC-HadGEM2-ES_CCLM4-8-17_r1i1p1,MOHC-HadGEM2-ES_COSMO-crCLIM-v1-1_r1i1p1,MOHC-HadGEM2-ES_HadREM3-GA7-05_r1i1p1,MOHC-HadGEM2-ES_HIRHAM5_r1i1p1,MOHC-HadGEM2-ES_RACMO22E_r1i1p1,MOHC-HadGEM2-ES_RCA4_r1i1p1,MOHC-HadGEM2-ES_RegCM4-6_r1i1p1,MOHC-HadGEM2-ES_REMO2015_r1i1p1,MOHC-HadGEM2-ES_WRF381P_r1i1p1,MPI-M-MPI-ESM-LR_ALADIN63_r1i1p1,MPI-M-MPI-ESM-LR_CCLM4-8-17_r1i1p1,MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r1i1p1,MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r2i1p1,MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r3i1p1,MPI-M-MPI-ESM-LR_HadREM3-GA7-05_r1i1p1,MPI-M-MPI-ESM-LR_HIRHAM5_r1i1p1,MPI-M-MPI-ESM-LR_RACMO22E_r1i1p1,MPI-M-MPI-ESM-LR_RCA4_r1i1p1,MPI-M-MPI-ESM-LR_RCA4_r2i1p1,MPI-M-MPI-ESM-LR_RCA4_r3i1p1,MPI-M-MPI-ESM-LR_RegCM4-6_r1i1p1,MPI-M-MPI-ESM-LR_REMO2015_r3i1p1,NCC-NorESM1-M_ALADIN63_r1i1p1,NCC-NorESM1-M_COSMO-crCLIM-v1-1_r1i1p1,NCC-NorESM1-M_HadREM3-GA7-05_r1i1p1,NCC-NorESM1-M_HIRHAM5_r1i1p1,NCC-NorESM1-M_RACMO22E_r1i1p1,NCC-NorESM1-M_RCA4_r1i1p1,NCC-NorESM1-M_RegCM4-6_r1i1p1,NCC-NorESM1-M_REMO2015_r1i1p1,NCC-NorESM1-M_WRF381P_r1i1p1
MOHC-HadGEM2-ES_ALADIN63_r1i1p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098095238,0,0.010952381,0.088571429,0.009047619,NA,NA,NA,NA,NA,NA,0.049047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_CCLM4-8-17_r1i1p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087142857,0.010952381,0,0.077619048,0.02,NA,NA,NA,0.097142857,0.098571429,NA,0.038095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_COSMO-crCLIM-v1-1_r1i1p1,NA,NA,NA,0.040952381,NA,NA,NA,NA,NA,0.077142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00952381,0.088571429,0.077619048,0,0.097619048,NA,NA,NA,0.01952381,0.020952381,NA,0.03952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_HadREM3-GA7-05_r1i1p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009047619,0.02,0.097619048,0,NA,NA,NA,NA,NA,NA,0.058095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_HIRHAM5_r1i1p1,0.021428571,0.086190476,NA,NA,NA,NA,NA,NA,0.095714286,NA,0.087142857,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,0.068571429,NA,0.050952381,NA,0.058571429,NA,NA,NA,0.010952381,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.08952381,NA,NA,NA,NA,NA,NA,NA,0.08,0.088571429,NA,NA,NA,NA,NA,NA,0.010952381,NA,NA,NA,0.047619048,NA,NA
MOHC-HadGEM2-ES_RACMO22E_r1i1p1,0.096666667,NA,NA,NA,NA,NA,NA,0.010952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.06,NA,NA,0.028571429,NA,NA,NA,NA,NA,0.06047619,NA,NA,NA,NA,NA,0.071428571,0.017619048,0.039047619,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_RCA4_r1i1p1,NA,NA,NA,0.078571429,NA,NA,NA,0.049047619,NA,0.042380952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0.1,0.098571429,0.088571429,NA,NA,NA,NA,NA,0.00047619,NA,NA,NA,NA,NA,0.011428571,0.077619048,0.020952381,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_RegCM4-6_r1i1p1,NA,NA,NA,0.021428571,NA,NA,NA,NA,NA,0.057619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0.097142857,0.01952381,NA,NA,NA,0.1,0,0.001428571,NA,0.059047619,NA,NA,NA,NA,0.09952381,NA,NA,NA,NA,NA,0.088571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_REMO2015_r1i1p1,NA,NA,NA,0.02,NA,NA,NA,NA,NA,0.056190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011428571,NA,0.098571429,0.020952381,NA,NA,NA,0.098571429,0.001428571,0,NA,0.06047619,NA,NA,NA,NA,0.098095238,NA,NA,NA,NA,NA,0.087142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOHC-HadGEM2-ES_WRF381P_r1i1p1,0.068095238,NA,NA,NA,NA,NA,NA,0.03952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038571429,NA,NA,NA,NA,NA,0.078571429,NA,NA,NA,NA,NA,0.08952381,0.028571429,0.088571429,NA,NA,0,NA,NA,NA,NA,NA,0.089047619,NA,NA,NA,NA,NA,NA,0.010952381,0.067619048,NA,NA,NA,NA,NA,NA,NA,NA
MPI-M-MPI-ESM-LR_ALADIN63_r1i1p1,NA,NA,NA,0.08047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049047619,0.049047619,0.038095238,0.03952381,0.058095238,NA,NA,NA,0.059047619,0.06047619,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MPI-M-MPI-ESM-LR_CCLM4-8-17_r1i1p1,NA,0.041428571,0.087142857,NA,0.067142857,0.017619048,0.057619048,NA,0.031904762,NA,0.04047619,0.057619048,0.048095238,0.018095238,0.067619048,0.077142857,0.048571429,0.067619048,0.067142857,0.029047619,0.001904762,0.01047619,0.059047619,0.01047619,NA,0.02047619,0.069047619,0.047619048,0.01,0.00952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.039047619,0.048571429,0.010952381,NA,0.02,0.047619048,0.039047619,0.009047619,0.00952381,NA,NA,NA,0.057619048,NA,0.067619048,0.057619048,0.038095238,0.08,0.018571429,0.009047619
MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r1i1p1,NA,0.08047619,0.048095238,NA,0.028095238,0.021428571,0.018571429,NA,0.070952381,NA,0.07952381,0.018571429,0.009047619,0.020952381,NA,0.038095238,0.00952381,0.028571429,0.028095238,0.01,0.040952381,0.04952381,0.098095238,0.04952381,NA,0.05952381,NA,0.008571429,0.049047619,0.02952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039047619,0,0.00952381,0.05,NA,0.019047619,0.086666667,0.078095238,0.03,0.048571429,NA,NA,NA,0.018571429,NA,0.028571429,0.018571429,0.000952381,NA,0.02047619,0.03
MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r2i1p1,NA,0.09,0.038571429,NA,0.018571429,0.030952381,0.009047619,NA,0.08047619,NA,0.089047619,0.009047619,0.00047619,0.03047619,NA,0.028571429,0,0.019047619,0.018571429,0.01952381,0.05047619,0.059047619,NA,0.059047619,NA,0.069047619,NA,0.000952381,0.058571429,0.039047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048571429,0.00952381,0,0.05952381,NA,0.028571429,0.096190476,0.087619048,0.03952381,0.058095238,NA,NA,NA,0.009047619,NA,0.019047619,0.009047619,0.01047619,NA,0.03,0.03952381
MPI-M-MPI-ESM-LR_COSMO-crCLIM-v1-1_r3i1p1,NA,0.03047619,0.098095238,NA,0.078095238,0.028571429,0.068571429,NA,0.020952381,NA,0.02952381,0.068571429,0.059047619,0.029047619,0.056666667,0.088095238,0.05952381,0.078571429,0.078095238,0.04,0.009047619,0.00047619,0.048095238,0.00047619,NA,0.00952381,0.058095238,0.058571429,0.000952381,0.02047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010952381,0.05,0.05952381,0,NA,0.030952381,0.036666667,0.028095238,0.02,0.001428571,NA,NA,NA,0.068571429,NA,0.078571429,0.068571429,0.049047619,0.069047619,0.02952381,0.02
MPI-M-MPI-ESM-LR_HadREM3-GA7-05_r1i1p1,NA,NA,NA,0.078095238,NA,NA,NA,0.04952381,NA,0.041904762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06047619,0.00047619,0.09952381,0.098095238,0.089047619,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.010952381,0.078095238,0.021428571,NA,NA,NA,NA,NA,NA,NA,NA
MPI-M-MPI-ESM-LR_HIRHAM5_r1i1p1,NA,0.061428571,0.067142857,NA,0.047142857,0.002380952,0.037619048,NA,0.051904762,NA,0.06047619,0.037619048,0.028095238,0.001904762,0.087619048,0.057142857,0.028571429,0.047619048,0.047142857,0.009047619,0.021904762,0.03047619,0.079047619,0.03047619,NA,0.04047619,0.089047619,0.027619048,0.03,0.01047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.019047619,0.028571429,0.030952381,NA,0,0.067619048,0.059047619,0.010952381,0.02952381,NA,NA,NA,0.037619048,NA,0.047619048,0.037619048,0.018095238,0.1,0.001428571,0.010952381
MPI-M-MPI-ESM-LR_RACMO22E_r1i1p1,NA,0.006190476,NA,NA,NA,0.065238095,NA,NA,0.015714286,NA,0.007142857,NA,0.095714286,0.065714286,0.02,NA,0.096190476,NA,NA,0.076666667,0.045714286,0.037142857,0.011428571,0.037142857,NA,0.027142857,0.021428571,0.095238095,0.037619048,0.057142857,0.090952381,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,0.047619048,0.086666667,0.096190476,0.036666667,NA,0.067619048,0,0.008571429,0.056666667,0.038095238,NA,NA,NA,NA,0.069047619,NA,NA,0.085714286,0.032380952,0.066190476,0.056666667
MPI-M-MPI-ESM-LR_RCA4_r1i1p1,NA,0.002380952,NA,NA,NA,0.056666667,0.096666667,NA,0.007142857,NA,0.001428571,0.096666667,0.087142857,0.057142857,0.028571429,NA,0.087619048,NA,NA,0.068095238,0.037142857,0.028571429,0.02,0.028571429,NA,0.018571429,0.03,0.086666667,0.029047619,0.048571429,0.09952381,NA,NA,NA,NA,NA,0.088571429,NA,NA,NA,NA,NA,NA,0.039047619,0.078095238,0.087619048,0.028095238,NA,0.059047619,0.008571429,0,0.048095238,0.02952381,NA,NA,NA,0.096666667,0.077619048,NA,0.096666667,0.077142857,0.040952381,0.057619048,0.048095238
MPI-M-MPI-ESM-LR_RCA4_r2i1p1,NA,0.05047619,0.078095238,NA,0.058095238,0.008571429,0.048571429,NA,0.040952381,NA,0.04952381,0.048571429,0.039047619,0.009047619,0.076666667,0.068095238,0.03952381,0.058571429,0.058095238,0.02,0.010952381,0.01952381,0.068095238,0.01952381,NA,0.02952381,0.078095238,0.038571429,0.019047619,0.00047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009047619,0.03,0.03952381,0.02,NA,0.010952381,0.056666667,0.048095238,0,0.018571429,NA,NA,NA,0.048571429,NA,0.058571429,0.048571429,0.029047619,0.089047619,0.00952381,0
MPI-M-MPI-ESM-LR_RCA4_r3i1p1,NA,0.031904762,0.096666667,NA,0.076666667,0.027142857,0.067142857,NA,0.022380952,NA,0.030952381,0.067142857,0.057619048,0.027619048,0.058095238,0.086666667,0.058095238,0.077142857,0.076666667,0.038571429,0.007619048,0.000952381,0.04952381,0.000952381,NA,0.010952381,0.05952381,0.057142857,0.00047619,0.019047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00952381,0.048571429,0.058095238,0.001428571,NA,0.02952381,0.038095238,0.02952381,0.018571429,0,NA,NA,NA,0.067142857,NA,0.077142857,0.067142857,0.047619048,0.07047619,0.028095238,0.018571429
MPI-M-MPI-ESM-LR_RegCM4-6_r1i1p1,NA,NA,NA,0.067142857,NA,NA,NA,0.06047619,NA,0.030952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098571429,NA,NA,NA,NA,NA,0.071428571,0.011428571,0.088571429,0.087142857,NA,NA,NA,NA,NA,NA,0.010952381,NA,NA,NA,NA,NA,0,0.089047619,0.032380952,NA,NA,NA,NA,NA,NA,NA,NA
MPI-M-MPI-ESM-LR_REMO2015_r3i1p1,0.079047619,NA,NA,NA,NA,NA,NA,0.028571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04952381,NA,NA,NA,NA,NA,0.08952381,NA,NA,NA,NA,NA,NA,0.017619048,0.077619048,NA,NA,0.010952381,NA,NA,NA,NA,NA,0.078095238,NA,NA,NA,NA,NA,0.089047619,0,0.056666667,NA,NA,NA,NA,NA,NA,NA,NA
NCC-NorESM1-M_ALADIN63_r1i1p1,NA,NA,NA,0.09952381,NA,NA,NA,0.028095238,NA,0.063333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039047619,0.020952381,NA,NA,0.067619048,NA,NA,NA,NA,NA,0.021428571,NA,NA,NA,NA,NA,0.032380952,0.056666667,0,NA,NA,NA,NA,NA,NA,NA,NA
NCC-NorESM1-M_COSMO-crCLIM-v1-1_r1i1p1,NA,0.099047619,0.02952381,NA,0.00952381,0.04,0,NA,0.08952381,NA,0.098095238,0,0.00952381,0.03952381,NA,0.01952381,0.009047619,0.01,0.00952381,0.028571429,0.05952381,0.068095238,NA,0.068095238,NA,0.078095238,NA,0.01,0.067619048,0.048095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057619048,0.018571429,0.009047619,0.068571429,NA,0.037619048,NA,0.096666667,0.048571429,0.067142857,NA,NA,NA,0,NA,0.01,0,0.01952381,NA,0.039047619,0.048571429
NCC-NorESM1-M_HadREM3-GA7-05_r1i1p1,0.032380952,0.075238095,NA,NA,NA,NA,NA,NA,0.084761905,NA,0.076190476,NA,NA,NA,0.049047619,NA,NA,NA,NA,NA,NA,NA,0.057619048,NA,0.061904762,0.096190476,0.047619048,NA,NA,NA,0.021904762,NA,NA,NA,NA,NA,0.010952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069047619,0.077619048,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.036666667,NA,NA
NCC-NorESM1-M_HIRHAM5_r1i1p1,NA,NA,0.01952381,NA,0.00047619,0.05,0.01,NA,0.09952381,NA,NA,0.01,0.01952381,0.04952381,NA,0.00952381,0.019047619,0,0.00047619,0.038571429,0.06952381,0.078095238,NA,0.078095238,NA,0.088095238,NA,0.02,0.077619048,0.058095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067619048,0.028571429,0.019047619,0.078571429,NA,0.047619048,NA,NA,0.058571429,0.077142857,NA,NA,NA,0.01,NA,0,0.01,0.02952381,NA,0.049047619,0.058571429
NCC-NorESM1-M_RACMO22E_r1i1p1,NA,0.099047619,0.02952381,NA,0.00952381,0.04,0,NA,0.08952381,NA,0.098095238,0,0.00952381,0.03952381,NA,0.01952381,0.009047619,0.01,0.00952381,0.028571429,0.05952381,0.068095238,NA,0.068095238,NA,0.078095238,NA,0.01,0.067619048,0.048095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057619048,0.018571429,0.009047619,0.068571429,NA,0.037619048,NA,0.096666667,0.048571429,0.067142857,NA,NA,NA,0,NA,0.01,0,0.01952381,NA,0.039047619,0.048571429
NCC-NorESM1-M_RCA4_r1i1p1,NA,0.07952381,0.049047619,NA,0.029047619,0.02047619,0.01952381,NA,0.07,NA,0.078571429,0.01952381,0.01,0.02,NA,0.039047619,0.01047619,0.02952381,0.029047619,0.009047619,0.04,0.048571429,0.097142857,0.048571429,NA,0.058571429,NA,0.00952381,0.048095238,0.028571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038095238,0.000952381,0.01047619,0.049047619,NA,0.018095238,0.085714286,0.077142857,0.029047619,0.047619048,NA,NA,NA,0.01952381,NA,0.02952381,0.01952381,0,NA,0.01952381,0.029047619
NCC-NorESM1-M_RegCM4-6_r1i1p1,0.069047619,0.038571429,NA,NA,NA,0.097619048,NA,NA,0.048095238,NA,0.03952381,NA,NA,0.098095238,0.012380952,NA,NA,NA,NA,NA,0.078095238,0.06952381,0.020952381,0.06952381,0.098571429,0.05952381,0.010952381,NA,0.07,0.08952381,0.058571429,NA,NA,NA,NA,NA,0.047619048,NA,NA,NA,NA,NA,NA,0.08,NA,NA,0.069047619,NA,0.1,0.032380952,0.040952381,0.089047619,0.07047619,NA,NA,NA,NA,0.036666667,NA,NA,NA,0,0.098571429,0.089047619
NCC-NorESM1-M_REMO2015_r1i1p1,NA,0.06,0.068571429,NA,0.048571429,0.000952381,0.039047619,NA,0.05047619,NA,0.059047619,0.039047619,0.02952381,0.00047619,0.086190476,0.058571429,0.03,0.049047619,0.048571429,0.01047619,0.02047619,0.029047619,0.077619048,0.029047619,NA,0.039047619,0.087619048,0.029047619,0.028571429,0.009047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018571429,0.02047619,0.03,0.02952381,NA,0.001428571,0.066190476,0.057619048,0.00952381,0.028095238,NA,NA,NA,0.039047619,NA,0.049047619,0.039047619,0.01952381,0.098571429,0,0.00952381
NCC-NorESM1-M_WRF381P_r1i1p1,NA,0.05047619,0.078095238,NA,0.058095238,0.008571429,0.048571429,NA,0.040952381,NA,0.04952381,0.048571429,0.039047619,0.009047619,0.076666667,0.068095238,0.03952381,0.058571429,0.058095238,0.02,0.010952381,0.01952381,0.068095238,0.01952381,NA,0.02952381,0.078095238,0.038571429,0.019047619,0.00047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009047619,0.03,0.03952381,0.02,NA,0.010952381,0.056666667,0.048095238,0,0.018571429,NA,NA,NA,0.048571429,NA,0.058571429,0.048571429,0.029047619,0.089047619,0.00952381,0
